Pitch, Yaw
0.000000,0.000000
0.009026,0.014711
0.012630,0.019507
0.012972,0.017963
0.015664,0.017528
0.017634,0.017376
0.019101,0.017406
0.019101,0.017406
0.019101,0.017406
0.019101,0.017406
0.019101,0.017406
0.019316,0.018059
0.018461,0.017443
0.018505,0.016913
0.018416,0.017551
0.018309,0.017395
0.018309,0.017395
0.018309,0.017395
0.018286,0.017787
0.018457,0.017847
0.018457,0.017847
0.018585,0.018309
0.018443,0.018152
0.018679,0.018093
0.018987,0.018069
0.018524,0.017519
0.018524,0.017519
0.018524,0.017519
0.018524,0.017519
0.018524,0.017519
0.018524,0.017519
0.018236,0.017232
0.018199,0.017014
0.018199,0.017014
0.018671,0.016943
0.018671,0.016943
0.018671,0.016943
0.018671,0.016943
0.018671,0.016943
0.018819,0.017074
0.019055,0.017059
0.019139,0.017020
0.019368,0.016857
0.019368,0.016857
0.019368,0.016857
0.019368,0.016857
0.019368,0.016857
0.019368,0.016857
0.019368,0.016857
0.019478,0.017008
0.019477,0.016908
0.020012,0.016440
0.020012,0.016440
0.020012,0.016440
0.020012,0.016440
0.020012,0.016440
0.020012,0.016440
0.020012,0.016440
0.020012,0.016440
0.019889,0.016549
0.019857,0.016787
0.019867,0.017003
0.019867,0.017003
0.019867,0.017003
0.019867,0.017003
0.019867,0.017003
0.019867,0.017003
0.019444,0.016664
0.019340,0.016825
0.019488,0.016781
0.019507,0.016866
0.019584,0.016986
0.019584,0.016986
0.019584,0.016986
0.019584,0.016986
0.019584,0.016986
0.019584,0.016986
0.019584,0.016986
0.019536,0.017007
0.019553,0.017212
0.019539,0.017274
0.019539,0.017274
0.019539,0.017274
0.019539,0.017274
0.019539,0.017274
0.019539,0.017274
0.019539,0.017274
0.019435,0.017391
0.019385,0.017671
0.019357,0.017812
0.019462,0.017855
0.019462,0.017855
0.019462,0.017855
0.019462,0.017855
0.019462,0.017855
0.019462,0.017855
0.019314,0.017944
0.019176,0.017943
0.019270,0.017820
0.019178,0.017912
0.019215,0.017824
0.019215,0.017824
0.019215,0.017824
0.019215,0.017824
0.019190,0.018052
0.019108,0.018239
0.018926,0.018231
0.018943,0.018358
0.018986,0.018369
0.018986,0.018369
0.018986,0.018369
0.018986,0.018369
0.018986,0.018369
0.018986,0.018369
0.018707,0.018181
0.018871,0.018082
0.018905,0.018067
0.018839,0.018070
0.018839,0.018070
0.018839,0.018070
0.018839,0.018070
0.018839,0.018070
0.018839,0.018070
0.018814,0.018278
0.018739,0.018362
0.018999,0.018141
0.018962,0.018202
0.019109,0.017973
0.019109,0.017973
0.019109,0.017973
0.019109,0.017973
0.019109,0.017973
0.019109,0.017973
0.018991,0.018060
0.018825,0.018128
0.018760,0.018283
0.018809,0.018315
0.018847,0.018349
0.018847,0.018349
0.018847,0.018349
0.018847,0.018349
0.018847,0.018349
0.018834,0.018474
0.018972,0.018339
0.019157,0.018172
0.019347,0.017982
0.019283,0.018205
0.019283,0.018205
0.019283,0.018205
